"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009913","GO:0009913","epidermal cell differentiation","18/576","92/9381",0.195652173913043,3.18648097826087,5.39017811547474,9.66644718854728e-06,0.00235577004130302,0.00209010734256391,"ASAH1/CD109/CERS3/CLIC4/DSP/FLNB/FOXC1/GSDME/IRF6/JAG1/KRT17/KRT5/PLEC/PRKCH/SFN/SULT2B1/TGM1/TXNIP",18
"GO:0001894","GO:0001894","tissue homeostasis","24/576","150/9381",0.16,2.60583333333333,5.07072085806513,1.31874385583851e-05,0.00266733306856074,0.00236653507512078,"ACTG1/APBB2/CD38/CLDN1/COL3A1/CSK/EGFR/ERCC6/FOXC1/GJA1/IL20RB/LIPA/LSR/PKP3/RAB3D/RAC3/SERPINA3/SLC2A1/SNX10/SPP1/TJP1/TLR4/TPP1/ZEB2",24
"GO:0060249","GO:0060249","anatomical structure homeostasis","24/576","150/9381",0.16,2.60583333333333,5.07072085806513,1.31874385583851e-05,0.00266733306856074,0.00236653507512078,"ACTG1/APBB2/CD38/CLDN1/COL3A1/CSK/EGFR/ERCC6/FOXC1/GJA1/IL20RB/LIPA/LSR/PKP3/RAB3D/RAC3/SERPINA3/SLC2A1/SNX10/SPP1/TJP1/TLR4/TPP1/ZEB2",24
"GO:0007160","GO:0007160","cell-matrix adhesion","25/576","160/9381",0.15625,2.54475911458333,5.04057089523891,1.3365212126422e-05,0.00266733306856074,0.00236653507512078,"ABL1/ACTG1/AJUBA/CCR7/CD63/COL17A1/COL3A1/COL5A3/CTTN/ITGA2/ITGA3/ITGA6/ITGB4/ITGB6/JAG1/JUP/LYPD3/POSTN/PPFIA1/PTK2/RHOD/S100A10/SFRP1/THSD1/TRIP6",25
"GO:0007044","GO:0007044","cell-substrate junction assembly","16/576","77/9381",0.207792207792208,3.38419913419913,5.3728042550986,1.35739304959295e-05,0.00266733306856074,0.00236653507512078,"ABL1/ACTG1/AJUBA/COL17A1/CTTN/DST/ITGA2/ITGA6/ITGB4/PLEC/PTK2/RHOD/S100A10/SFRP1/THSD1/TRIP6",16
"GO:0045229","GO:0045229","external encapsulating structure organization","28/576","191/9381",0.146596858638743,2.38754363001745,4.95511292896313,1.41639699513242e-05,0.00266733306856074,0.00236653507512078,"ABL1/AEBP1/APBB2/APP/COL12A1/COL17A1/COL1A2/COL3A1/COL5A2/COL5A3/COL6A1/COL7A1/CTSS/CYP1B1/FOXC1/GFOD2/HAS3/ITGA2/KLK7/LCP1/MMP10/MMP11/MMP13/MMP2/POSTN/SPINT1/SPINT2/TGM1",28
"GO:0019882","GO:0019882","antigen processing and presentation","18/576","95/9381",0.189473684210526,3.08585526315789,5.22612283645503,1.53869958687785e-05,0.00277166625584128,0.00245910249765559,"B2M/CCL19/CCR7/CD68/CD74/CTSS/ERAP1/FCER1G/FGL2/HLA-DMB/HLA-DPB1/HLA-DQA1/HLA-DQB1/HLA-DRB4/ICAM1/LGMN/TAP1/UNC93B1",18
"GO:0008015","GO:0008015","blood circulation","33/576","246/9381",0.134146341463415,2.18476880081301,4.81609303248109,1.68250034784975e-05,0.00290441622547563,0.00257688211170672,"ABL1/ADCY6/APP/CD38/CELF2/COL1A2/CTSZ/DSC2/DSG2/DSP/EDN1/EGFR/ERAP1/F2RL1/FOXC1/GJA1/GJC1/HBEGF/HOPX/ID2/IRX3/JUP/MMP2/NAV2/P2RY2/PIK3C2A/PLEC/POSTN/PPP1R13L/SCPEP1/SERPING1/TJP1/ZEB2",33
"GO:0019884","GO:0019884","antigen processing and presentation of exogenous antigen","11/576","40/9381",0.275,4.47877604166667,5.63907357214544,1.91464533991918e-05,0.00313243800424535,0.00277918963142009,"B2M/CD74/CTSS/FCER1G/HLA-DMB/HLA-DPB1/HLA-DQA1/HLA-DQB1/HLA-DRB4/LGMN/UNC93B1",11
"GO:0031589","GO:0031589","cell-substrate adhesion","32/576","237/9381",0.135021097046413,2.19901547116737,4.78166153738698,1.97614951766952e-05,0.00313243800424535,0.00277918963142009,"ABL1/ACTG1/AJUBA/CCR7/CD63/COL17A1/COL3A1/COL5A3/CTTN/DOCK1/GBP1/ITGA2/ITGA3/ITGA6/ITGB4/ITGB6/JAG1/JUP/LAMA5/LPXN/LYPD3/POSTN/PPFIA1/PTK2/RAC3/RHOD/S100A10/SFRP1/TACSTD2/TESK1/THSD1/TRIP6",32
"GO:0001704","GO:0001704","formation of primary germ layer","15/576","71/9381",0.211267605633803,3.44080105633803,5.28000941822748,2.0414150643163e-05,0.00313243800424535,0.00277918963142009,"COL12A1/COL5A2/COL6A1/COL7A1/DUSP4/FOXC1/GJA1/ITGA2/ITGA3/ITGB4/LAMB3/MMP2/PAF1/SOX2/WLS",15
"GO:0007043","GO:0007043","cell-cell junction assembly","16/576","80/9381",0.2,3.25729166666667,5.1858007994876,2.25360677192805e-05,0.00333453316289211,0.00295849430359878,"ACTG1/CD9/CLDN1/DLG5/EPB41L3/GJA1/GJB2/GJC1/HOPX/IRX3/JUP/LSR/MARVELD2/PKP3/PRKCH/TJP1",16
"GO:0002253","GO:0002253","activation of immune response","49/576","437/9381",0.112128146453089,1.82617038520214,4.52368574324966,2.61446483484866e-05,0.00373507855544069,0.00331386976526008,"ABL1/ALPK1/APP/BCAR1/BIRC3/CARD8/CCR7/CD247/CD38/CD3D/CMKLR1/CSK/CTSS/DAB2IP/F2RL1/FCER1G/FCMR/FCRL3/FOSL1/FPR1/GBP1/GBP5/HLA-DPB1/HLA-DQB1/LAPTM5/LAX1/LIPA/LPXN/MNDA/MS4A1/NAGK/NFATC2/NLRP3/PIK3AP1/PRKCH/PTK2/PTPRC/RC3H1/S100A8/S100A9/SERPING1/SMPDL3A/THEMIS/TLR4/TLR8/TYROBP/UNC93B1/WDFY1/ZDHHC12",49
"GO:0002429","GO:0002429","immune response-activating cell surface receptor signaling pathway","33/576","252/9381",0.130952380952381,2.13275049603175,4.66198539494661,2.7777428330372e-05,0.00383606285242438,0.00340346595542664,"ABL1/BCAR1/CCR7/CD247/CD38/CD3D/CMKLR1/CSK/DAB2IP/F2RL1/FCER1G/FCMR/FCRL3/FPR1/GBP1/HLA-DPB1/HLA-DQB1/LAPTM5/LAX1/LIPA/LPXN/MNDA/MS4A1/NFATC2/PIK3AP1/PRKCH/PTK2/PTPRC/RC3H1/THEMIS/TLR4/TYROBP/WDFY1",33
"GO:0030198","GO:0030198","extracellular matrix organization","27/576","190/9381",0.142105263157895,2.31439144736842,4.68131777492227,3.54428013154305e-05,0.00458873518280714,0.00407125862478564,"ABL1/AEBP1/APBB2/APP/COL12A1/COL17A1/COL1A2/COL3A1/COL5A2/COL5A3/COL6A1/COL7A1/CTSS/CYP1B1/FOXC1/GFOD2/HAS3/ITGA2/KLK7/LCP1/MMP10/MMP11/MMP13/MMP2/POSTN/SPINT1/SPINT2",27
"GO:0043062","GO:0043062","extracellular structure organization","27/576","190/9381",0.142105263157895,2.31439144736842,4.68131777492227,3.54428013154305e-05,0.00458873518280714,0.00407125862478564,"ABL1/AEBP1/APBB2/APP/COL12A1/COL17A1/COL1A2/COL3A1/COL5A2/COL5A3/COL6A1/COL7A1/CTSS/CYP1B1/FOXC1/GFOD2/HAS3/ITGA2/KLK7/LCP1/MMP10/MMP11/MMP13/MMP2/POSTN/SPINT1/SPINT2",27
"GO:0150115","GO:0150115","cell-substrate junction organization","16/576","84/9381",0.19047619047619,3.10218253968254,4.94978839268168,4.24556634176115e-05,0.00533011556179286,0.00472903274814352,"ABL1/ACTG1/AJUBA/COL17A1/CTTN/DST/ITGA2/ITGA6/ITGB4/PLEC/PTK2/RHOD/S100A10/SFRP1/THSD1/TRIP6",16
"GO:0040017","GO:0040017","positive regulation of locomotion","46/576","412/9381",0.111650485436893,1.8183909789644,4.34495627476914,5.1624723224868e-05,0.00629062436237142,0.00558122394740679,"ABL1/ACTG1/ANXA3/APP/ATM/BCAR1/CAVIN1/CCL19/CCR7/CD74/CLDN1/CMKLR1/CYP1B1/DAB2IP/DOCK1/EDN1/EGFR/F2RL1/F3/FAM110C/FAM83H/HBEGF/HSPB1/ICAM1/IL16/ITGA2/ITGA3/ITGA6/KITLG/LAMC2/LGMN/MMP2/PDGFC/PDGFRB/PIK3C2A/PLA2G7/POSTN/PTK2/PTPRC/RHOD/SEMA3F/SEMA4B/SH3RF2/TJP1/TLR4/TRIP6",46
"GO:0048002","GO:0048002","antigen processing and presentation of peptide antigen","13/576","60/9381",0.216666666666667,3.52873263888889,5.02568501952863,5.47543467100989e-05,0.0064813502405697,0.00575044146501249,"B2M/CD74/CTSS/ERAP1/FCER1G/HLA-DMB/HLA-DPB1/HLA-DQA1/HLA-DQB1/HLA-DRB4/LGMN/TAP1/UNC93B1",13
"GO:0031099","GO:0031099","regeneration","20/576","124/9381",0.161290322580645,2.62684811827957,4.66413058077925,6.09999947550172e-05,0.00702008272972323,0.00622842051709123,"ANXA3/CD9/CLDN1/COL6A1/EGFR/GJA1/HOPX/HSPG2/KLF5/LCP1/MMP2/POSTN/PTGFRN/PTPRF/RGMA/SLC7A5/SOX2/SPP1/TNC/ULK1",20
"GO:2000147","GO:2000147","positive regulation of cell motility","45/576","405/9381",0.111111111111111,1.80960648148148,4.25998477297739,7.00560615854424e-05,0.00784438549049967,0.00695976577685249,"ABL1/ACTG1/ANXA3/APP/ATM/BCAR1/CAVIN1/CCL19/CCR7/CD74/CLDN1/CMKLR1/CYP1B1/DAB2IP/DOCK1/EDN1/EGFR/F2RL1/F3/FAM110C/FAM83H/HBEGF/HSPB1/ICAM1/ITGA2/ITGA3/ITGA6/KITLG/LAMC2/LGMN/MMP2/PDGFC/PDGFRB/PIK3C2A/PLA2G7/POSTN/PTK2/PTPRC/RHOD/SEMA3F/SEMA4B/SH3RF2/TJP1/TLR4/TRIP6",45
"GO:0002252","GO:0002252","immune effector process","49/576","455/9381",0.107692307692308,1.75392628205128,4.21651957647313,7.41164344475061e-05,0.00795490822407326,0.007057824743947,"ABL1/ANXA3/APP/B2M/CCL19/CD74/CD84/CYBC1/F2RL1/FCER1G/FCMR/FCRL3/FGL2/HLA-DMB/ICAM1/IL20RB/IL4R/IRF8/JAG1/JAK3/KLK7/LAPTM5/LCP1/LIPA/LY9/NLRP3/PKP3/PLEC/PTGDS/PTK2/PTPRC/PVR/RC3H1/S100A9/SERPINB4/SERPING1/SLAMF7/SLAMF8/SLC7A5/SNAP23/SPI1/STX7/TLR4/TLR8/TP53/TUBB4B/TYROBP/UNC93B1/YWHAG",49
"GO:0042742","GO:0042742","defense response to bacterium","23/576","156/9381",0.147435897435897,2.40120860042735,4.5136708596142,7.48832779963449e-05,0.00795490822407326,0.007057824743947,"ANXA3/APP/B2M/F2RL1/FCER1G/GBP1/GBP5/GSDMC/IRF8/KLK7/LCN2/LYZ/NAGK/OPTN/PI3/PLAC8/S100A8/S100A9/SHC1/SLAMF8/SLC9A9/SLPI/TLR4",23
"GO:0050869","GO:0050869","negative regulation of B cell activation","8/576","25/9381",0.32,5.21166666666667,5.39295591392576,8.18311633899736e-05,0.00831914211900676,0.00738098359428627,"ATM/ID2/LAPTM5/MNDA/RC3H1/SAMSN1/SFRP1/TYROBP",8
"GO:0002768","GO:0002768","immune response-regulating cell surface receptor signaling pathway","33/576","266/9381",0.12406015037594,2.02050046992481,4.31840799849745,8.2492958964515e-05,0.00831914211900676,0.00738098359428627,"ABL1/BCAR1/CCR7/CD247/CD38/CD3D/CMKLR1/CSK/DAB2IP/F2RL1/FCER1G/FCMR/FCRL3/FPR1/GBP1/HLA-DPB1/HLA-DQB1/LAPTM5/LAX1/LIPA/LPXN/MNDA/MS4A1/NFATC2/PIK3AP1/PRKCH/PTK2/PTPRC/RC3H1/THEMIS/TLR4/TYROBP/WDFY1",33
"GO:0009612","GO:0009612","response to mechanical stimulus","19/576","117/9381",0.162393162393162,2.64480947293447,4.57885864975942,8.43359809312778e-05,0.00831914211900676,0.00738098359428627,"ABHD12/CHI3L1/COL6A1/EDN1/EGFR/FOSL1/GADD45A/ITGA2/JUP/KRT5/MMP2/PLEC/POSTN/PTK2/SLC2A1/TLR4/TLR8/TNC/TXNIP",19
"GO:0030335","GO:0030335","positive regulation of cell migration","44/576","399/9381",0.110275689223058,1.79600041771094,4.15586277485118,0.000100640989352946,0.00969664229975013,0.00860314161127265,"ABL1/ACTG1/ANXA3/APP/ATM/BCAR1/CCL19/CCR7/CD74/CLDN1/CMKLR1/CYP1B1/DAB2IP/DOCK1/EDN1/EGFR/F2RL1/F3/FAM110C/FAM83H/HBEGF/HSPB1/ICAM1/ITGA2/ITGA3/ITGA6/KITLG/LAMC2/LGMN/MMP2/PDGFC/PDGFRB/PIK3C2A/PLA2G7/POSTN/PTK2/PTPRC/RHOD/SEMA3F/SEMA4B/SH3RF2/TJP1/TLR4/TRIP6",44
"GO:0007162","GO:0007162","negative regulation of cell adhesion","27/576","202/9381",0.133663366336634,2.17690284653465,4.32480563091114,0.000104035985868212,0.00979593385118189,0.00869123594860758,"ABL1/CD74/CD9/CYP1B1/DLG5/FGL2/GBP1/HSPG2/IL20RB/IL4R/JAG1/JAK3/LAPTM5/LAX1/LPXN/MMP2/MUC1/PDCD1LG2/POSTN/PTK2/PTPRC/RC3H1/SPI1/SPINT2/TACSTD2/TMEM131L/TNC",27
"GO:0000768","GO:0000768","syncytium formation by plasma membrane fusion","9/576","33/9381",0.272727272727273,4.44176136363636,5.0655470533121,0.000118639284963601,0.0106852729913956,0.00948028336597014,"CD109/CD9/CXCL9/DOCK1/EHD1/IL4R/NFATC2/PTGFRN/TYROBP",9
"GO:0140253","GO:0140253","cell-cell fusion","9/576","33/9381",0.272727272727273,4.44176136363636,5.0655470533121,0.000118639284963601,0.0106852729913956,0.00948028336597014,"CD109/CD9/CXCL9/DOCK1/EHD1/IL4R/NFATC2/PTGFRN/TYROBP",9
"GO:0050851","GO:0050851","antigen receptor-mediated signaling pathway","23/576","161/9381",0.142857142857143,2.3266369047619,4.34257704856134,0.000122454697422109,0.0107942513068042,0.00957697208058242,"ABL1/BCAR1/CCR7/CD247/CD38/CD3D/CSK/FCMR/FCRL3/GBP1/HLA-DPB1/HLA-DQB1/LAPTM5/LAX1/LIPA/LPXN/MNDA/MS4A1/NFATC2/PRKCH/PTPRC/RC3H1/THEMIS",23
"GO:0001501","GO:0001501","skeletal system development","34/576","284/9381",0.119718309859155,1.94978726525822,4.15704184046108,0.000131170085578177,0.0113216180114664,0.0100448670798025,"ATP6AP1/CHI3L1/CMKLR1/COL1A2/COL3A1/COL5A2/COL6A1/EBP/EDN1/EVC/FGFR3/FOXC1/FST/GJA1/HEXA/HOXD9/ITGB6/LAMA5/LIPA/MBOAT2/MDFI/MMP13/MMP2/NFATC2/PDGFC/PLS3/PTHLH/PTPRC/SFRP1/SNX10/TFAP2A/TP53/TSKU/TYROBP",34
"GO:0002399","GO:0002399","MHC class II protein complex assembly","6/576","15/9381",0.4,6.51458333333333,5.46675030033865,0.000162004147118748,0.0130707506359795,0.0115967481537255,"B2M/HLA-DMB/HLA-DPB1/HLA-DQA1/HLA-DQB1/HLA-DRB4",6
"GO:0002503","GO:0002503","peptide antigen assembly with MHC class II protein complex","6/576","15/9381",0.4,6.51458333333333,5.46675030033865,0.000162004147118748,0.0130707506359795,0.0115967481537255,"B2M/HLA-DMB/HLA-DPB1/HLA-DQA1/HLA-DQB1/HLA-DRB4",6
"GO:0002695","GO:0002695","negative regulation of leukocyte activation","20/576","133/9381",0.150375939849624,2.44909147869674,4.30472778322209,0.000165464425267186,0.0130707506359795,0.0115967481537255,"ATM/CD74/CD84/DLG5/FGL2/ID2/IL20RB/IL4R/JAK3/LAPTM5/LAX1/LST1/MNDA/PDCD1LG2/PTPRC/RC3H1/SAMSN1/SFRP1/TMEM131L/TYROBP",20
"GO:0002604","GO:0002604","regulation of dendritic cell antigen processing and presentation","5/576","10/9381",0.5,8.14322916666667,5.78028956492841,0.000166882584684559,0.0130707506359795,0.0115967481537255,"CCL19/CCR7/CD68/CD74/FGL2",5
"GO:0060348","GO:0060348","bone development","19/576","123/9381",0.154471544715447,2.51579437669377,4.32795005007824,0.000167209699181007,0.0130707506359795,0.0115967481537255,"ATP6AP1/COL3A1/COL6A1/EBP/EVC/FGFR3/FOXC1/GJA1/ITGB6/LIPA/MMP13/PDGFC/PLS3/PTPRC/SNX10/TFAP2A/TP53/TSKU/TYROBP",19
"GO:0006949","GO:0006949","syncytium formation","9/576","35/9381",0.257142857142857,4.18794642857143,4.83259198556605,0.000194494520554846,0.0149220518270135,0.0132392761360141,"CD109/CD9/CXCL9/DOCK1/EHD1/IL4R/NFATC2/PTGFRN/TYROBP",9
"GO:0050865","GO:0050865","regulation of cell activation","49/576","474/9381",0.10337552742616,1.68362122011252,3.90649219109691,0.000202782550576117,0.0152750564915791,0.0135524720882641,"ABL1/APP/ATM/B2M/CCL19/CCR7/CD38/CD74/CD84/CD9/CSK/DLG5/EFNB1/FANCA/FCER1G/FCRL3/FGL2/HLA-DMB/HLA-DPB1/HLA-DQA1/HLA-DQB1/HLA-DRB4/HSPH1/ID2/IL16/IL20RB/IL4R/JAK3/KITLG/LAPTM5/LAX1/LRRK2/LST1/MAP3K8/MNDA/NFATC2/NLRP3/PDCD1LG2/PLEK/PTPRC/RC3H1/SAMSN1/SFRP1/SLAMF8/SPI1/TLR4/TMEM131L/TYROBP/YWHAG",49
"GO:0009617","GO:0009617","response to bacterium","43/576","402/9381",0.106965174129353,1.74208385157546,3.88955576642422,0.000238466695597463,0.0175298949022665,0.015553029967787,"ABL1/ANXA3/APP/B2M/CARD8/CCR7/CD68/CLDN1/COL6A1/CXCL9/DAB2IP/EDN1/ERAP1/F2RL1/FCER1G/GBP1/GBP5/GJB2/GSDMC/IFNAR1/IL36G/IL36RN/IRF8/KLK7/LCN2/LYZ/MS4A1/NAGK/NLRP3/OPTN/PAF1/PDCD1LG2/PI3/PLAC8/S100A8/S100A9/SELENOW/SHC1/SLAMF8/SLC7A5/SLC9A9/SLPI/TLR4",43
"GO:0007229","GO:0007229","integrin-mediated signaling pathway","14/576","78/9381",0.179487179487179,2.92321047008547,4.36225035110529,0.000244786399789108,0.0175298949022665,0.015553029967787,"ABL1/BCAR1/CD63/COL3A1/DOCK1/DST/ITGA2/ITGA3/ITGA6/ITGB4/ITGB6/LAMA5/PLEK/PTK2",14
"GO:0001706","GO:0001706","endoderm formation","9/576","36/9381",0.25,4.07161458333333,4.72254711204907,0.000245410066215654,0.0175298949022665,0.015553029967787,"COL12A1/COL5A2/COL6A1/COL7A1/DUSP4/LAMB3/MMP2/PAF1/SOX2",9
"GO:0050866","GO:0050866","negative regulation of cell activation","21/576","148/9381",0.141891891891892,2.31091638513514,4.11133071141576,0.000262782983583414,0.0184527101862048,0.0163717783884617,"ATM/CD74/CD84/CD9/DLG5/FGL2/ID2/IL20RB/IL4R/JAK3/LAPTM5/LAX1/LST1/MNDA/PDCD1LG2/PTPRC/RC3H1/SAMSN1/SFRP1/TMEM131L/TYROBP",21
"GO:0007411","GO:0007411","axon guidance","16/576","98/9381",0.163265306122449,2.65901360544218,4.22247212307511,0.000282914711906934,0.0195352608571738,0.0173322486662985,"APBB2/APP/EDN1/EFNA3/EFNB1/EMB/ENAH/NECTIN1/NELL2/NOTCH3/PTK2/PTK7/RAC3/SEMA3F/SEMA4B/TUBB3",16
