"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030216","GO:0030216","keratinocyte differentiation","16/577","68/9364",2.56202071872566e-06,0.000842904134770804,0.000754910306369842,"ASAH1/CD109/CERS3/CLIC4/DSP/FLNB/FOXC1/IRF6/JAG1/KRT17/KRT5/PLEC/PRKCH/SFN/TGM1/TXNIP",16
"GO:0001894","GO:0001894","tissue homeostasis","25/577","146/9364",2.66223366181255e-06,0.000842904134770804,0.000754910306369842,"ACTG1/APBB2/B2M/CD38/CLDN1/COL3A1/CSK/ERCC6/FOXC1/GJA1/HSPB1/IL20RB/LIPA/LSR/LYZ/RAB3D/RAC3/SERPINA3/SLC2A1/SNX10/SPP1/TJP1/TLR4/TPP1/ZEB2",25
"GO:0060249","GO:0060249","anatomical structure homeostasis","25/577","146/9364",2.66223366181255e-06,0.000842904134770804,0.000754910306369842,"ACTG1/APBB2/B2M/CD38/CLDN1/COL3A1/CSK/ERCC6/FOXC1/GJA1/HSPB1/IL20RB/LIPA/LSR/LYZ/RAB3D/RAC3/SERPINA3/SLC2A1/SNX10/SPP1/TJP1/TLR4/TPP1/ZEB2",25
"GO:0030855","GO:0030855","epithelial cell differentiation","43/577","334/9364",2.91721815963708e-06,0.000857662138933303,0.000768127668800682,"ABL1/ASAH1/CD109/CERS3/CLDN1/CLIC4/CTSB/DLG5/DSP/EHF/F2RL1/FLNB/FOXC1/FRMD6/FST/GSDME/ICAM1/ID2/IRF6/ITGA2/JAG1/KLF5/KRT17/KRT5/KRT9/LIPA/MARVELD2/MTSS1/PLEC/PLK4/PRKCH/PSAP/PTK6/PTK7/RHCG/SDC1/SFN/SPINT2/SULT2B1/TGM1/TJP1/TPP1/TXNIP",43
"GO:0007043","GO:0007043","cell-cell junction assembly","17/577","79/9364",4.65388318044948e-06,0.00121904172842195,0.00109178152854935,"ACTG1/CD9/CLDN1/CTNND1/DLG5/EPB41L3/GJA1/GJB2/GJC1/HOPX/IRX3/JUP/LSR/MARVELD2/PKP3/PRKCH/TJP1",17
"GO:0002478","GO:0002478","antigen processing and presentation of exogenous peptide antigen","11/577","35/9364",4.73874335635354e-06,0.00121904172842195,0.00109178152854935,"B2M/CD74/CTSS/FCER1G/HLA-DMB/HLA-DPB1/HLA-DQA1/HLA-DQB1/HLA-DRB4/LGMN/UNC93B1",11
"GO:0009913","GO:0009913","epidermal cell differentiation","18/577","89/9364",6.23093704965257e-06,0.00150861981743353,0.00135112950760887,"ASAH1/CD109/CERS3/CLIC4/DSP/FLNB/FOXC1/GSDME/IRF6/JAG1/KRT17/KRT5/PLEC/PRKCH/SFN/SULT2B1/TGM1/TXNIP",18
"GO:0040017","GO:0040017","positive regulation of locomotion","47/577","396/9364",9.55500487404217e-06,0.00218491111453098,0.00195682029642665,"ABL1/ACTG1/ANXA3/APP/ATM/BCAR1/CAVIN1/CCL19/CCR7/CD74/CLDN1/CMKLR1/CYP1B1/DAB2IP/DOCK1/EDN1/EGFR/F2RL1/F3/FAM110C/FAM83H/HBEGF/HSPB1/ICAM1/IL16/ITGA2/ITGA3/ITGA6/KITLG/LAMC2/LGMN/MMP2/PDGFC/PDGFRB/PIK3C2A/PLA2G7/POSTN/PTK2/PTPRC/RHOD/SEMA3F/SEMA4B/SH3RF2/SPI1/TJP1/TLR4/TRIP6",47
"GO:0007160","GO:0007160","cell-matrix adhesion","25/577","158/9364",1.13449010393644e-05,0.0023993672875892,0.00214888860956917,"ABL1/ACTG1/AJUBA/CCR7/CD63/COL17A1/COL3A1/COL5A3/CTTN/ITGA2/ITGA3/ITGA6/ITGB4/ITGB6/JAG1/JUP/LYPD3/POSTN/PPFIA1/PTK2/RHOD/S100A10/SFRP1/THSD1/TRIP6",25
"GO:0007044","GO:0007044","cell-substrate junction assembly","16/577","76/9364",1.19054847203613e-05,0.0023993672875892,0.00214888860956917,"ABL1/ACTG1/AJUBA/COL17A1/CTTN/DST/ITGA2/ITGA6/ITGB4/PLEC/PTK2/RHOD/S100A10/SFRP1/THSD1/TRIP6",16
"GO:0001704","GO:0001704","formation of primary germ layer","15/577","68/9364",1.22628902311816e-05,0.0023993672875892,0.00214888860956917,"COL12A1/COL5A2/COL6A1/COL7A1/DUSP4/FOXC1/GJA1/ITGA2/ITGA3/ITGB4/LAMB3/MMP2/PAF1/SOX2/WLS",15
"GO:0019882","GO:0019882","antigen processing and presentation","18/577","94/9364",1.38623767987719e-05,0.0023993672875892,0.00214888860956917,"B2M/CCL19/CCR7/CD68/CD74/CTSS/ERAP1/FCER1G/FGL2/HLA-DMB/HLA-DPB1/HLA-DQA1/HLA-DQB1/HLA-DRB4/ICAM1/LGMN/TAP1/UNC93B1",18
"GO:0002757","GO:0002757","immune response-activating signaling pathway","43/577","355/9364",1.39700504753599e-05,0.0023993672875892,0.00214888860956917,"ABL1/ALPK1/BCAR1/BIRC3/CARD8/CCR7/CD247/CD38/CD3D/CMKLR1/CSK/CTSS/DAB2IP/F2RL1/FCER1G/FCRL3/FOSL1/FPR1/GBP1/GBP5/HLA-DPB1/HLA-DQB1/LAPTM5/LAX1/LIPA/LPXN/MNDA/MS4A1/NAGK/NFATC2/NLRP3/PIK3AP1/PRKCH/PTK2/PTPRC/RC3H1/THEMIS/TLR4/TLR8/TYROBP/UNC93B1/WDFY1/ZDHHC12",43
"GO:2000147","GO:2000147","positive regulation of cell motility","46/577","390/9364",1.40294325505215e-05,0.0023993672875892,0.00214888860956917,"ABL1/ACTG1/ANXA3/APP/ATM/BCAR1/CAVIN1/CCL19/CCR7/CD74/CLDN1/CMKLR1/CYP1B1/DAB2IP/DOCK1/EDN1/EGFR/F2RL1/F3/FAM110C/FAM83H/HBEGF/HSPB1/ICAM1/ITGA2/ITGA3/ITGA6/KITLG/LAMC2/LGMN/MMP2/PDGFC/PDGFRB/PIK3C2A/PLA2G7/POSTN/PTK2/PTPRC/RHOD/SEMA3F/SEMA4B/SH3RF2/SPI1/TJP1/TLR4/TRIP6",46
"GO:0019884","GO:0019884","antigen processing and presentation of exogenous antigen","11/577","39/9364",1.51833189928018e-05,0.0023993672875892,0.00214888860956917,"B2M/CD74/CTSS/FCER1G/HLA-DMB/HLA-DPB1/HLA-DQA1/HLA-DQB1/HLA-DRB4/LGMN/UNC93B1",11
"GO:0002764","GO:0002764","immune response-regulating signaling pathway","44/577","368/9364",1.53991734525509e-05,0.0023993672875892,0.00214888860956917,"ABL1/ALPK1/BCAR1/BIRC3/CARD8/CCR7/CD247/CD38/CD3D/CMKLR1/CSK/CTSS/DAB2IP/F2RL1/FCER1G/FCRL3/FOSL1/FPR1/GBP1/GBP5/HLA-DPB1/HLA-DQB1/IL20RB/LAPTM5/LAX1/LIPA/LPXN/MNDA/MS4A1/NAGK/NFATC2/NLRP3/PIK3AP1/PRKCH/PTK2/PTPRC/RC3H1/THEMIS/TLR4/TLR8/TYROBP/UNC93B1/WDFY1/ZDHHC12",44
"GO:0048871","GO:0048871","multicellular organismal-level homeostasis","54/577","488/9364",1.6160288061353e-05,0.0023993672875892,0.00214888860956917,"ABL1/ACTG1/ADAR/ADCY6/ADGRG1/APBB2/ARHGEF5/B2M/BPGM/CCR7/CD38/CD74/CLDN1/CMKLR1/COL3A1/CSK/ERCC6/FOXC1/GJA1/GPR174/HSPB1/ID2/IGF2BP2/IKZF1/IL20RB/IL4R/IRX3/ITGB6/JAK3/KITLG/LCN2/LIPA/LSR/LYZ/OMA1/PCSK1N/PDGFC/PLAC8/PPP1R13L/PWWP2B/RAB3D/RAC3/RC3H1/SERPINA3/SLC2A1/SNX10/SPI1/SPP1/TJP1/TLR4/TMOD3/TPP1/TSKU/ZEB2",54
"GO:0031589","GO:0031589","cell-substrate adhesion","32/577","234/9364",1.6322226446185e-05,0.0023993672875892,0.00214888860956917,"ABL1/ACTG1/AJUBA/CCR7/CD63/COL17A1/COL3A1/COL5A3/CTTN/DOCK1/GBP1/ITGA2/ITGA3/ITGA6/ITGB4/ITGB6/JAG1/JUP/LAMA5/LPXN/LYPD3/POSTN/PPFIA1/PTK2/RAC3/RHOD/S100A10/SFRP1/TACSTD2/TESK1/THSD1/TRIP6",32
"GO:0003013","GO:0003013","circulatory system process","36/577","281/9364",2.11439062946157e-05,0.00290895211013267,0.0026052760190488,"ABCC5/ABL1/ADCY6/CD38/CELF2/COL1A2/CTSZ/DSC2/DSG2/DSP/EDN1/ERAP1/F2RL1/FOXC1/GJA1/GJC1/HBEGF/HOPX/ID2/IRX3/JUP/MMP2/NAV2/P2RY2/PIK3C2A/PLEC/POSTN/PPP1R13L/SCPEP1/SERPING1/SLC2A1/SLC5A1/SLC7A5/SLCO2B1/TJP1/ZEB2",36
"GO:0002429","GO:0002429","immune response-activating cell surface receptor signaling pathway","32/577","237/9364",2.12022748551944e-05,0.00290895211013267,0.0026052760190488,"ABL1/BCAR1/CCR7/CD247/CD38/CD3D/CMKLR1/CSK/DAB2IP/F2RL1/FCER1G/FCRL3/FPR1/GBP1/HLA-DPB1/HLA-DQB1/LAPTM5/LAX1/LIPA/LPXN/MNDA/MS4A1/NFATC2/PIK3AP1/PRKCH/PTK2/PTPRC/RC3H1/THEMIS/TLR4/TYROBP/WDFY1",32
"GO:0030335","GO:0030335","positive regulation of cell migration","45/577","385/9364",2.19439370063965e-05,0.0029135885393009,0.00260942843451275,"ABL1/ACTG1/ANXA3/APP/ATM/BCAR1/CCL19/CCR7/CD74/CLDN1/CMKLR1/CYP1B1/DAB2IP/DOCK1/EDN1/EGFR/F2RL1/F3/FAM110C/FAM83H/HBEGF/HSPB1/ICAM1/ITGA2/ITGA3/ITGA6/KITLG/LAMC2/LGMN/MMP2/PDGFC/PDGFRB/PIK3C2A/PLA2G7/POSTN/PTK2/PTPRC/RHOD/SEMA3F/SEMA4B/SH3RF2/SPI1/TJP1/TLR4/TRIP6",45
"GO:0150115","GO:0150115","cell-substrate junction organization","16/577","83/9364",3.79920646975723e-05,0.00488672932172523,0.0043765858740427,"ABL1/ACTG1/AJUBA/COL17A1/CTTN/DST/ITGA2/ITGA6/ITGB4/PLEC/PTK2/RHOD/S100A10/SFRP1/THSD1/TRIP6",16
"GO:0008015","GO:0008015","blood circulation","31/577","235/9364",4.49674823612945e-05,0.00560867143633601,0.00502316182549453,"ABL1/ADCY6/CD38/CELF2/COL1A2/CTSZ/DSC2/DSG2/DSP/EDN1/ERAP1/F2RL1/FOXC1/GJA1/GJC1/HBEGF/HOPX/ID2/IRX3/JUP/MMP2/NAV2/P2RY2/PIK3C2A/PLEC/POSTN/PPP1R13L/SCPEP1/SERPING1/TJP1/ZEB2",31
"GO:0048002","GO:0048002","antigen processing and presentation of peptide antigen","13/577","59/9364",4.70922190922754e-05,0.00570092864070016,0.00510578796474144,"B2M/CD74/CTSS/ERAP1/FCER1G/HLA-DMB/HLA-DPB1/HLA-DQA1/HLA-DQB1/HLA-DRB4/LGMN/TAP1/UNC93B1",13
"GO:0002695","GO:0002695","negative regulation of leukocyte activation","21/577","132/9364",5.20894713853904e-05,0.00612572183492191,0.00548623545238006,"ATM/CD74/CD84/DLG5/FGL2/ID2/IL20RB/IL4R/JAK3/LAPTM5/LAX1/LST1/MNDA/PDCD1LG2/PTPRC/RC3H1/SAMSN1/SFRP1/SPI1/TMEM131L/TYROBP",21
"GO:0002768","GO:0002768","immune response-regulating cell surface receptor signaling pathway","32/577","250/9364",6.16577743370766e-05,0.00704953886587243,0.00631361186340474,"ABL1/BCAR1/CCR7/CD247/CD38/CD3D/CMKLR1/CSK/DAB2IP/F2RL1/FCER1G/FCRL3/FPR1/GBP1/HLA-DPB1/HLA-DQB1/LAPTM5/LAX1/LIPA/LPXN/MNDA/MS4A1/NFATC2/PIK3AP1/PRKCH/PTK2/PTPRC/RC3H1/THEMIS/TLR4/TYROBP/WDFY1",32
"GO:0007162","GO:0007162","negative regulation of cell adhesion","27/577","197/9364",7.15347368126797e-05,0.00795775612759431,0.00712701702184934,"ABL1/CD74/CD9/CYP1B1/DLG5/FGL2/GBP1/HSPG2/IL20RB/IL4R/JAG1/JAK3/LAPTM5/LAX1/LPXN/MMP2/MUC1/PDCD1LG2/POSTN/PTK2/PTPRC/RC3H1/SPI1/SPINT2/TACSTD2/TMEM131L/TNC",27
"GO:0050866","GO:0050866","negative regulation of cell activation","22/577","147/9364",8.96456764735259e-05,0.00971004222013244,0.00869637559585285,"ATM/CD74/CD84/CD9/DLG5/FGL2/ID2/IL20RB/IL4R/JAK3/LAPTM5/LAX1/LST1/MNDA/PDCD1LG2/PTPRC/RC3H1/SAMSN1/SFRP1/SPI1/TMEM131L/TYROBP",22
"GO:0002253","GO:0002253","activation of immune response","44/577","397/9364",9.71041259115369e-05,0.0102482200577407,0.00917837109155742,"ABL1/ALPK1/BCAR1/BIRC3/CARD8/CCR7/CD247/CD38/CD3D/CMKLR1/CSK/CTSS/DAB2IP/F2RL1/FCER1G/FCRL3/FOSL1/FPR1/GBP1/GBP5/HLA-DPB1/HLA-DQB1/LAPTM5/LAX1/LIPA/LPXN/MNDA/MS4A1/NAGK/NFATC2/NLRP3/PIK3AP1/PRKCH/PTK2/PTPRC/RC3H1/SERPING1/THEMIS/TLR4/TLR8/TYROBP/UNC93B1/WDFY1/ZDHHC12",44
"GO:0050869","GO:0050869","negative regulation of B cell activation","8/577","26/9364",0.000114722578629358,0.0114038064480383,0.0102133216155261,"ATM/ID2/LAPTM5/MNDA/RC3H1/SAMSN1/SFRP1/TYROBP",8
"GO:0045229","GO:0045229","external encapsulating structure organization","25/577","181/9364",0.00011597874053507,0.0114038064480383,0.0102133216155261,"ABL1/AEBP1/APP/COL12A1/COL17A1/COL1A2/COL3A1/COL5A2/COL5A3/COL7A1/CTSS/CYP1B1/FOXC1/GFOD2/HAS3/KLK7/LCP1/MMP10/MMP11/MMP13/MMP2/POSTN/SPINT1/SPINT2/TGM1",25
"GO:0030029","GO:0030029","actin filament-based process","51/577","487/9364",0.0001184800017349,0.0114038064480383,0.0102133216155261,"ABL1/ACTG1/ANLN/ARHGEF5/ARPC1A/BCAR1/CCR7/CDC42BPG/CDC42EP1/CTTN/CYTH2/DSC2/DSG2/DSP/EDN1/ENAH/EPB41L3/F2RL1/FLNB/FRMD6/GJA1/GJC1/GPR65/JUP/LCP1/MICAL2/MTSS1/MYO1D/PDGFRB/PDLIM4/PDLIM7/PLEC/PLEK/PLS3/PPFIA1/PTK7/RAC3/RHOD/RHOV/RND3/S100A10/SFRP1/SHC1/SMTN/TACSTD2/TESK1/TJP1/TMOD3/TYROBP/WIPF1/ZEB2",51
"GO:0000768","GO:0000768","syncytium formation by plasma membrane fusion","9/577","33/9364",0.000121906580105365,0.0114038064480383,0.0102133216155261,"CD109/CD9/CXCL9/DOCK1/EHD1/IL4R/NFATC2/PTGFRN/TYROBP",9
"GO:0140253","GO:0140253","cell-cell fusion","9/577","33/9364",0.000121906580105365,0.0114038064480383,0.0102133216155261,"CD109/CD9/CXCL9/DOCK1/EHD1/IL4R/NFATC2/PTGFRN/TYROBP",9
"GO:0001706","GO:0001706","endoderm formation","9/577","34/9364",0.000156853417926608,0.0141666358474716,0.0126877292051162,"COL12A1/COL5A2/COL6A1/COL7A1/DUSP4/LAMB3/MMP2/PAF1/SOX2",9
"GO:0002399","GO:0002399","MHC class II protein complex assembly","6/577","15/9364",0.000165208581311622,0.0141666358474716,0.0126877292051162,"B2M/HLA-DMB/HLA-DPB1/HLA-DQA1/HLA-DQB1/HLA-DRB4",6
"GO:0002503","GO:0002503","peptide antigen assembly with MHC class II protein complex","6/577","15/9364",0.000165208581311622,0.0141666358474716,0.0126877292051162,"B2M/HLA-DMB/HLA-DPB1/HLA-DQA1/HLA-DQB1/HLA-DRB4",6
"GO:0048668","GO:0048668","collateral sprouting","6/577","15/9364",0.000165208581311622,0.0141666358474716,0.0126877292051162,"APP/CRABP2/LPAR3/RGMA/SPP1/ULK1",6
"GO:0002604","GO:0002604","regulation of dendritic cell antigen processing and presentation","5/577","10/9364",0.000169714244081817,0.0142559965028726,0.0127677611766815,"CCL19/CCR7/CD68/CD74/FGL2",5
"GO:0050851","GO:0050851","antigen receptor-mediated signaling pathway","22/577","155/9364",0.000197799555286538,0.0161226933271494,0.014439586730008,"ABL1/BCAR1/CCR7/CD247/CD38/CD3D/CSK/FCRL3/GBP1/HLA-DPB1/HLA-DQB1/LAPTM5/LAX1/LIPA/LPXN/MNDA/MS4A1/NFATC2/PRKCH/PTPRC/RC3H1/THEMIS",22
"GO:0006949","GO:0006949","syncytium formation","9/577","35/9364",0.000199770981458848,0.0161226933271494,0.014439586730008,"CD109/CD9/CXCL9/DOCK1/EHD1/IL4R/NFATC2/PTGFRN/TYROBP",9
"GO:0001501","GO:0001501","skeletal system development","33/577","279/9364",0.000220407500149049,0.0174461013579516,0.0156248393830358,"ATP6AP1/CHI3L1/CMKLR1/COL1A2/COL3A1/COL5A2/EBP/EDN1/EVC/FGFR3/FOXC1/FST/GJA1/HEXA/HOXD9/ITGB6/LAMA5/LIPA/MBOAT2/MDFI/MMP13/MMP2/NFATC2/PDGFC/PLS3/PTHLH/PTPRC/SFRP1/SNX10/TFAP2A/TP53/TSKU/TYROBP",33
"GO:0035987","GO:0035987","endodermal cell differentiation","8/577","29/9364",0.000267377536124655,0.0197606491111556,0.0176977630779159,"COL12A1/COL5A2/COL6A1/COL7A1/LAMB3/MMP2/PAF1/SOX2",8
"GO:0051250","GO:0051250","negative regulation of lymphocyte activation","18/577","117/9364",0.000271156095436771,0.0197606491111556,0.0176977630779159,"ATM/CD74/DLG5/FGL2/ID2/IL20RB/IL4R/JAK3/LAPTM5/LAX1/LST1/MNDA/PDCD1LG2/RC3H1/SAMSN1/SFRP1/TMEM131L/TYROBP",18
"GO:0030198","GO:0030198","extracellular matrix organization","24/577","180/9364",0.000272469018884512,0.0197606491111556,0.0176977630779159,"ABL1/AEBP1/APP/COL12A1/COL17A1/COL1A2/COL3A1/COL5A2/COL5A3/COL7A1/CTSS/CYP1B1/FOXC1/GFOD2/HAS3/KLK7/LCP1/MMP10/MMP11/MMP13/MMP2/POSTN/SPINT1/SPINT2",24
"GO:0043062","GO:0043062","extracellular structure organization","24/577","180/9364",0.000272469018884512,0.0197606491111556,0.0176977630779159,"ABL1/AEBP1/APP/COL12A1/COL17A1/COL1A2/COL3A1/COL5A2/COL5A3/COL7A1/CTSS/CYP1B1/FOXC1/GFOD2/HAS3/KLK7/LCP1/MMP10/MMP11/MMP13/MMP2/POSTN/SPINT1/SPINT2",24
"GO:0002252","GO:0002252","immune effector process","45/577","428/9364",0.000273653304017461,0.0197606491111556,0.0176977630779159,"ABL1/ANXA3/APP/B2M/CCL19/CD74/CD84/CYBC1/F2RL1/FCER1G/FCRL3/FGL2/HLA-DMB/ICAM1/IL20RB/IL4R/IRF8/JAG1/JAK3/KLK7/LAPTM5/LCP1/LIPA/LY9/NLRP3/PLEC/PTGDS/PTK2/PTPRC/PVR/RC3H1/SERPINB4/SERPING1/SLAMF7/SLAMF8/SLC7A5/SNAP23/SPI1/STX7/TLR4/TLR8/TP53/TUBB4B/TYROBP/UNC93B1",45
"GO:0007229","GO:0007229","integrin-mediated signaling pathway","14/577","79/9364",0.000291502075715967,0.0202653230134976,0.0181497522360157,"ABL1/BCAR1/CD63/COL3A1/DOCK1/DST/ITGA2/ITGA3/ITGA6/ITGB4/ITGB6/LAMA5/PLEK/PTK2",14
"GO:0031424","GO:0031424","keratinization","5/577","11/9364",0.000295412871916875,0.0202653230134976,0.0181497522360157,"CERS3/KRT17/KRT5/SFN/TGM1",5
"GO:0048670","GO:0048670","regulation of collateral sprouting","5/577","11/9364",0.000295412871916875,0.0202653230134976,0.0181497522360157,"CRABP2/LPAR3/RGMA/SPP1/ULK1",5
"GO:0048729","GO:0048729","tissue morphogenesis","37/577","332/9364",0.000311398972651228,0.0210117733021714,0.0188182778641001,"ABL1/ACTG1/AJUBA/CLIC4/COL3A1/CTHRC1/CTSZ/DLG5/DSP/EDN1/EGFR/ESRP2/FOXC1/FST/GJA1/HBEGF/IRX3/ITGA2/ITGA3/ITGB4/JAG1/KRT17/LAMA5/MICAL2/MMP2/MTSS1/PLEKHA4/PRICKLE2/PTK7/RGMA/SFRP1/SPINT1/SPINT2/TACSTD2/TFAP2A/TNC/WLS",37
"GO:0042742","GO:0042742","defense response to bacterium","21/577","150/9364",0.000332385775934093,0.0220661266733021,0.0197625634519727,"ANXA3/F2RL1/FCER1G/GBP1/GBP5/GSDMC/IRF8/KLK7/LCN2/LYZ/NAGK/OPTN/PI3/PLAC8/S100A8/S100A9/SHC1/SLAMF8/SLC9A9/SLPI/TLR4",21
"GO:0032732","GO:0032732","positive regulation of interleukin-1 production","11/577","54/9364",0.000372698485483428,0.0243496343849173,0.021807687488103,"APP/CARD8/CCL19/F2RL1/GBP5/HSPB1/IL16/NLRP3/TLR4/TLR8/TYROBP",11
"GO:0006935","GO:0006935","chemotaxis","33/577","288/9364",0.000395896279027922,0.025069370530445,0.0224522877596078,"ARHGEF5/BCAR1/CCL19/CCR7/CD74/CMKLR1/CXCL9/EDN1/F2RL1/F3/FCER1G/FOSL1/FPR1/HBEGF/HSPB1/IL16/ITGA2/LGMN/LSP1/MMP2/PDGFRB/PLA2G7/PLEC/PLEKHG5/PLP2/PTK2/RAC3/S100A8/S100A9/SEMA3F/SEMA4B/SLAMF8/SPI1",33
"GO:0042330","GO:0042330","taxis","33/577","288/9364",0.000395896279027922,0.025069370530445,0.0224522877596078,"ARHGEF5/BCAR1/CCL19/CCR7/CD74/CMKLR1/CXCL9/EDN1/F2RL1/F3/FCER1G/FOSL1/FPR1/HBEGF/HSPB1/IL16/ITGA2/LGMN/LSP1/MMP2/PDGFRB/PLA2G7/PLEC/PLEKHG5/PLP2/PTK2/RAC3/S100A8/S100A9/SEMA3F/SEMA4B/SLAMF8/SPI1",33
"GO:0060348","GO:0060348","bone development","18/577","121/9364",0.000413886682225122,0.0254346826074732,0.0227794635802187,"ATP6AP1/COL3A1/EBP/EVC/FGFR3/FOXC1/GJA1/ITGB6/LIPA/MMP13/PDGFC/PLS3/PTPRC/SNX10/TFAP2A/TP53/TSKU/TYROBP",18
"GO:0007369","GO:0007369","gastrulation","17/577","111/9364",0.00042020369711083,0.0254346826074732,0.0227794635802187,"COL12A1/COL5A2/COL6A1/COL7A1/DUSP4/FOXC1/GJA1/ITGA2/ITGA3/ITGB4/LAMB3/MMP2/PAF1/SFRP1/SOX2/TP53/WLS",17
"GO:0009612","GO:0009612","response to mechanical stimulus","17/577","111/9364",0.00042020369711083,0.0254346826074732,0.0227794635802187,"ABHD12/CHI3L1/EDN1/FOSL1/GADD45A/ITGA2/JUP/KRT5/MMP2/PLEC/POSTN/PTK2/SLC2A1/TLR4/TLR8/TNC/TXNIP",17
"GO:0038127","GO:0038127","ERBB signaling pathway","14/577","82/9364",0.000434279247998875,0.0259057012284546,0.0232013108541886,"ABL1/AFAP1L2/BCAR1/DAB2IP/EGFR/GPRC5A/HBEGF/LGMN/PIK3C2A/PTK2/PTK6/PTPN18/SHC1/TGFA",14
